"","Civil.Service.grad","gradeval","Group","Gender","Date","count","total","share","gradescore","sorter","totalgroup","share2","left","grp","yvar"
"40","SEO/HEO",3,"DECC","Female",2014,280,1570,0.178343949044586,1.08917197452229,0.686624203821656,FALSE,0.089171974522293,TRUE,"TRUE2014",0.089171974522293
"41","AO/AA",1,"DfID","Female",2010,100,1630,0.0613496932515337,0.098159509202454,0.646625766871166,FALSE,-0.0306748466257669,FALSE,"FALSE2010",-0.0306748466257669
"42","AO/AA",1,"DfID","Male",2010,60,1630,0.0368098159509202,0.098159509202454,0.646625766871166,FALSE,-0.0184049079754601,FALSE,"FALSE2010",-0.0184049079754601
"43","EO",2,"DfID","Female",2010,130,1630,0.0797546012269939,0.257668711656442,0.646625766871166,FALSE,-0.0398773006134969,FALSE,"FALSE2010",-0.0398773006134969
"44","EO",2,"DfID","Male",2010,80,1630,0.049079754601227,0.257668711656442,0.646625766871166,FALSE,-0.0245398773006135,FALSE,"FALSE2010",-0.0245398773006135
"45","G6/G7",4,"DfID","Female",2010,340,1630,0.208588957055215,1.79141104294479,0.646625766871166,FALSE,-0.104294478527607,FALSE,"FALSE2010",-0.104294478527607
"46","G6/G7",4,"DfID","Male",2010,390,1630,0.239263803680982,1.79141104294479,0.646625766871166,FALSE,-0.119631901840491,FALSE,"FALSE2010",-0.119631901840491
"47","SCS",5,"DfID","Male",2010,60,1630,0.0368098159509202,0.276073619631902,0.646625766871166,FALSE,-0.0184049079754601,FALSE,"FALSE2010",-0.0184049079754601
"48","SCS",5,"DfID","Female",2010,30,1630,0.0184049079754601,0.276073619631902,0.646625766871166,FALSE,-0.00920245398773006,FALSE,"FALSE2010",-0.00920245398773006
"49","SEO/HEO",3,"DfID","Female",2010,220,1630,0.134969325153374,0.809815950920245,0.646625766871166,FALSE,-0.0674846625766871,FALSE,"FALSE2010",-0.0674846625766871
"50","SEO/HEO",3,"DfID","Male",2010,220,1630,0.134969325153374,0.809815950920245,0.646625766871166,FALSE,-0.0674846625766871,FALSE,"FALSE2010",-0.0674846625766871
"51","AO/AA",1,"DfID","Female",2014,50,1900,0.0263157894736842,0.0473684210526316,0.693684210526316,FALSE,-0.0131578947368421,FALSE,"FALSE2014",-0.0131578947368421
"52","AO/AA",1,"DfID","Male",2014,40,1900,0.0210526315789474,0.0473684210526316,0.693684210526316,FALSE,-0.0105263157894737,FALSE,"FALSE2014",-0.0105263157894737
"53","EO",2,"DfID","Female",2014,110,1900,0.0578947368421053,0.189473684210526,0.693684210526316,FALSE,-0.0289473684210526,FALSE,"FALSE2014",-0.0289473684210526
"54","EO",2,"DfID","Male",2014,70,1900,0.0368421052631579,0.189473684210526,0.693684210526316,FALSE,-0.0184210526315789,FALSE,"FALSE2014",-0.0184210526315789
"55","G6/G7",4,"DfID","Female",2014,540,1900,0.284210526315789,2.18947368421053,0.693684210526316,FALSE,-0.142105263157895,FALSE,"FALSE2014",-0.142105263157895
"56","G6/G7",4,"DfID","Male",2014,500,1900,0.263157894736842,2.18947368421053,0.693684210526316,FALSE,-0.131578947368421,FALSE,"FALSE2014",-0.131578947368421
"57","SCS",5,"DfID","Female",2014,40,1900,0.0210526315789474,0.236842105263158,0.693684210526316,FALSE,-0.0105263157894737,FALSE,"FALSE2014",-0.0105263157894737
"58","SCS",5,"DfID","Male",2014,50,1900,0.0263157894736842,0.236842105263158,0.693684210526316,FALSE,-0.0131578947368421,FALSE,"FALSE2014",-0.0131578947368421
"59","SEO/HEO",3,"DfID","Female",2014,270,1900,0.142105263157895,0.805263157894737,0.693684210526316,FALSE,-0.0710526315789474,FALSE,"FALSE2014",-0.0710526315789474
"60","SEO/HEO",3,"DfID","Male",2014,240,1900,0.126315789473684,0.805263157894737,0.693684210526316,FALSE,-0.0631578947368421,FALSE,"FALSE2014",-0.0631578947368421
"61","AO/AA",1,"DfID","Female",2010,100,1630,0.0613496932515337,0.098159509202454,0.646625766871166,FALSE,0.0306748466257669,TRUE,"TRUE2010",0.0306748466257669
"62","AO/AA",1,"DfID","Male",2010,60,1630,0.0368098159509202,0.098159509202454,0.646625766871166,FALSE,0.0184049079754601,TRUE,"TRUE2010",0.0184049079754601
"63","EO",2,"DfID","Female",2010,130,1630,0.0797546012269939,0.257668711656442,0.646625766871166,FALSE,0.0398773006134969,TRUE,"TRUE2010",0.0398773006134969
"64","EO",2,"DfID","Male",2010,80,1630,0.049079754601227,0.257668711656442,0.646625766871166,FALSE,0.0245398773006135,TRUE,"TRUE2010",0.0245398773006135
"65","G6/G7",4,"DfID","Female",2010,340,1630,0.208588957055215,1.79141104294479,0.646625766871166,FALSE,0.104294478527607,TRUE,"TRUE2010",0.104294478527607
"66","G6/G7",4,"DfID","Male",2010,390,1630,0.239263803680982,1.79141104294479,0.646625766871166,FALSE,0.119631901840491,TRUE,"TRUE2010",0.119631901840491
"67","SCS",5,"DfID","Male",2010,60,1630,0.0368098159509202,0.276073619631902,0.646625766871166,FALSE,0.0184049079754601,TRUE,"TRUE2010",0.0184049079754601
"68","SCS",5,"DfID","Female",2010,30,1630,0.0184049079754601,0.276073619631902,0.646625766871166,FALSE,0.00920245398773006,TRUE,"TRUE2010",0.00920245398773006
"69","SEO/HEO",3,"DfID","Female",2010,220,1630,0.134969325153374,0.809815950920245,0.646625766871166,FALSE,0.0674846625766871,TRUE,"TRUE2010",0.0674846625766871
"70","SEO/HEO",3,"DfID","Male",2010,220,1630,0.134969325153374,0.809815950920245,0.646625766871166,FALSE,0.0674846625766871,TRUE,"TRUE2010",0.0674846625766871
"71","AO/AA",1,"DfID","Female",2014,50,1900,0.0263157894736842,0.0473684210526316,0.693684210526316,FALSE,0.0131578947368421,TRUE,"TRUE2014",0.0131578947368421
"72","AO/AA",1,"DfID","Male",2014,40,1900,0.0210526315789474,0.0473684210526316,0.693684210526316,FALSE,0.0105263157894737,TRUE,"TRUE2014",0.0105263157894737
"73","EO",2,"DfID","Female",2014,110,1900,0.0578947368421053,0.189473684210526,0.693684210526316,FALSE,0.0289473684210526,TRUE,"TRUE2014",0.0289473684210526
"74","EO",2,"DfID","Male",2014,70,1900,0.0368421052631579,0.189473684210526,0.693684210526316,FALSE,0.0184210526315789,TRUE,"TRUE2014",0.0184210526315789
"75","G6/G7",4,"DfID","Female",2014,540,1900,0.284210526315789,2.18947368421053,0.693684210526316,FALSE,0.142105263157895,TRUE,"TRUE2014",0.142105263157895
"76","G6/G7",4,"DfID","Male",2014,500,1900,0.263157894736842,2.18947368421053,0.693684210526316,FALSE,0.131578947368421,TRUE,"TRUE2014",0.131578947368421
"77","SCS",5,"DfID","Female",2014,40,1900,0.0210526315789474,0.236842105263158,0.693684210526316,FALSE,0.0105263157894737,TRUE,"TRUE2014",0.0105263157894737
"78","SCS",5,"DfID","Male",2014,50,1900,0.0263157894736842,0.236842105263158,0.693684210526316,FALSE,0.0131578947368421,TRUE,"TRUE2014",0.0131578947368421
"79","SEO/HEO",3,"DfID","Female",2014,270,1900,0.142105263157895,0.805263157894737,0.693684210526316,FALSE,0.0710526315789474,TRUE,"TRUE2014",0.0710526315789474
"80","SEO/HEO",3,"DfID","Male",2014,240,1900,0.126315789473684,0.805263157894737,0.693684210526316,FALSE,0.0631578947368421,TRUE,"TRUE2014",0.0631578947368421
"81","AO/AA",1,"DCMS","Female",2010,20,720,0.0277777777777778,0.0416666666666667,0.658333333333333,FALSE,-0.0138888888888889,FALSE,"FALSE2010",-0.0138888888888889
"82","AO/AA",1,"DCMS","Male",2010,10,720,0.0138888888888889,0.0416666666666667,0.658333333333333,FALSE,-0.00694444444444444,FALSE,"FALSE2010",-0.00694444444444444
"83","EO",2,"DCMS","Male",2010,70,720,0.0972222222222222,0.388888888888889,0.658333333333333,FALSE,-0.0486111111111111,FALSE,"FALSE2010",-0.0486111111111111
"84","EO",2,"DCMS","Female",2010,70,720,0.0972222222222222,0.388888888888889,0.658333333333333,FALSE,-0.0486111111111111,FALSE,"FALSE2010",-0.0486111111111111
"85","G6/G7",4,"DCMS","Male",2010,120,720,0.166666666666667,1.33333333333333,0.658333333333333,FALSE,-0.0833333333333333,FALSE,"FALSE2010",-0.0833333333333333
"86","G6/G7",4,"DCMS","Female",2010,120,720,0.166666666666667,1.33333333333333,0.658333333333333,FALSE,-0.0833333333333333,FALSE,"FALSE2010",-0.0833333333333333
"87","SCS",5,"DCMS","Female",2010,40,720,0.0555555555555556,0.486111111111111,0.658333333333333,FALSE,-0.0277777777777778,FALSE,"FALSE2010",-0.0277777777777778
"88","SCS",5,"DCMS","Male",2010,30,720,0.0416666666666667,0.486111111111111,0.658333333333333,FALSE,-0.0208333333333333,FALSE,"FALSE2010",-0.0208333333333333
"89","SEO/HEO",3,"DCMS","Female",2010,140,720,0.194444444444444,1.04166666666667,0.658333333333333,FALSE,-0.0972222222222222,FALSE,"FALSE2010",-0.0972222222222222
"90","SEO/HEO",3,"DCMS","Male",2010,110,720,0.152777777777778,1.04166666666667,0.658333333333333,FALSE,-0.0763888888888889,FALSE,"FALSE2010",-0.0763888888888889
"91","AO/AA",1,"DCMS","Female",2014,20,390,0.0512820512820513,0.102564102564103,0.656410256410256,FALSE,-0.0256410256410256,FALSE,"FALSE2014",-0.0256410256410256
"92","AO/AA",1,"DCMS","Male",2014,20,390,0.0512820512820513,0.102564102564103,0.656410256410256,FALSE,-0.0256410256410256,FALSE,"FALSE2014",-0.0256410256410256
